x,sx,y,sy
62000.0,0.0,-67.0,2.0
62500.0,0.0,-65.0,2.0
63000.0,0.0,-64.5,2.0
63500.0,0.0,-63.0,2.0
64000.0,0.0,-60.0,2.0
64500.0,0.0,-58.3,2.0
65000.0,0.0,-58.0,2.0
65500.0,0.0,-56.0,2.0
66000.0,0.0,-52.4,2.0
66500.0,0.0,-50.3,2.0
67000.0,0.0,-48.2,2.0
67500.0,0.0,-45.6,2.0
68000.0,0.0,-43.3,2.0
68500.0,0.0,-39.9,2.0
69000.0,0.0,-36.3,2.0
69500.0,0.0,-32.0,2.0
70000.0,0.0,-27.9,2.0
70500.0,0.0,-23.3,2.0
71000.0,0.0,-18.8,2.0
71500.0,0.0,-12.8,2.0
72000.0,0.0,-7.8,2.0
72100.0,0.0,-7.8,2.0
72200.0,0.0,-6.7,2.0
72300.0,0.0,-4.7,2.0
72400.0,0.0,-4.2,2.0
72500.0,0.0,-6.2,2.0
72600.0,0.0,-5.2,2.0
72700.0,0.0,-3.7,2.0
72800.0,0.0,-3.1,2.0
72900.0,0.0,-1.6,2.0
73000.0,0.0,2.6,2.0
73100.0,0.0,4.2,2.0
73200.0,0.0,4.7,2.0
73300.0,0.0,6.3,2.0
73400.0,0.0,6.9,2.0
73500.0,0.0,8.5,2.0
74000.0,0.0,13.3,2.0
74500.0,0.0,18.2,2.0
75000.0,0.0,23.2,2.0
75500.0,0.0,23.3,2.0
76000.0,0.0,27.3,2.0
76500.0,0.0,30.3,2.0
77000.0,0.0,33.7,2.0
77500.0,0.0,40.1,2.0
78000.0,0.0,42.7,2.0
78500.0,0.0,45.7,2.0
79000.0,0.0,46.7,2.0
79500.0,0.0,49.5,2.0
80000.0,0.0,51.2,2.0
80500.0,0.0,53.4,2.0
81000.0,0.0,56.0,2.0
81500.0,0.0,57.3,2.0
82000.0,0.0,59.0,2.0
82500.0,0.0,58.8,2.0
83000.0,0.0,60.4,2.0
83500.0,0.0,60.7,2.0
84000.0,0.0,63.1,2.0
