Test residui Ampiezza_____________________________________________
   x       y       y*      res     s_res   
1  32000.000.03    0.03    -0.00   0.01    
2  37000.000.03    0.04    -0.00   0.01    
3  42000.000.04    0.04    -0.00   0.01    
4  47000.000.05    0.05    -0.00   0.01    
5  52000.000.07    0.07    -0.00   0.01    
6  57000.000.09    0.09    0.00    0.01    
7  62000.000.13    0.13    0.00    0.01    
8  62500.000.13    0.13    0.00    0.01    
9  63000.000.14    0.14    0.00    0.01    
10 63500.000.15    0.14    0.00    0.01    
11 64000.000.15    0.15    0.00    0.02    
12 64500.000.16    0.16    0.00    0.02    
13 65000.000.17    0.17    -0.00   0.02    
14 65500.000.18    0.18    -0.00   0.02    
15 66000.000.18    0.19    -0.00   0.02    
16 66500.000.20    0.20    -0.00   0.02    
17 67000.000.21    0.21    -0.00   0.02    
18 67500.000.22    0.22    -0.00   0.02    
19 68000.000.24    0.24    -0.00   0.02    
20 68500.000.25    0.25    -0.00   0.02    
21 69000.000.27    0.27    -0.00   0.03    
22 69500.000.29    0.29    -0.00   0.03    
23 70000.000.31    0.31    -0.00   0.03    
24 70500.000.33    0.34    -0.00   0.03    
25 71000.000.36    0.36    0.00    0.03    
26 71500.000.38    0.38    0.00    0.04    
27 72000.000.40    0.40    0.00    0.04    
28 72100.000.40    0.40    0.00    0.04    
29 72200.000.41    0.40    0.00    0.04    
30 72300.000.41    0.41    0.00    0.04    
31 72400.000.41    0.41    0.00    0.04    
32 72500.000.41    0.41    0.00    0.04    
33 72600.000.41    0.41    0.00    0.04    
34 72700.000.42    0.42    0.00    0.04    
35 72800.000.42    0.42    0.00    0.04    
36 72900.000.42    0.42    0.00    0.04    
37 73000.000.42    0.42    0.00    0.04    
38 73100.000.42    0.42    0.00    0.04    
39 73200.000.42    0.42    0.00    0.04    
40 73300.000.42    0.42    0.00    0.04    
41 73400.000.42    0.42    0.00    0.04    
42 73500.000.42    0.42    0.00    0.04    
43 74000.000.41    0.41    0.00    0.04    
44 74500.000.40    0.40    0.00    0.04    
45 75000.000.38    0.38    0.00    0.04    
46 75500.000.36    0.36    0.00    0.03    
47 76000.000.33    0.34    -0.00   0.03    
48 76500.000.32    0.32    -0.00   0.03    
49 77000.000.30    0.30    -0.00   0.03    
50 77500.000.28    0.28    -0.00   0.03    
51 78000.000.26    0.26    -0.00   0.02    
52 78500.000.25    0.25    -0.00   0.02    
53 79000.000.23    0.24    -0.00   0.02    
54 79500.000.22    0.22    -0.00   0.02    
55 80000.000.21    0.21    -0.00   0.02    
56 80500.000.20    0.20    0.00    0.02    
57 81000.000.19    0.19    -0.00   0.02    
58 81500.000.18    0.18    -0.00   0.02    
59 82000.000.18    0.18    0.00    0.02    
60 82500.000.17    0.17    0.00    0.02    
61 83000.000.16    0.16    0.00    0.02    
62 83500.000.16    0.16    0.00    0.02    
63 84000.000.15    0.15    0.00    0.02    
64 89000.000.11    0.11    0.00    0.01    
65 94000.000.09    0.09    0.00    0.01    
66 99000.000.08    0.08    0.00    0.01    
67 104000.000.07    0.07    0.00    0.01    
68 109000.000.06    0.06    0.00    0.01    
69 114000.000.06    0.05    0.00    0.01    
70 119000.000.05    0.05    0.00    0.01    
71 124000.000.05    0.05    -0.00   0.01    

Somma residui = 0.11
